text,label
Life is amazing,Positive
This is the best day,Positive
Feeling super excited,Positive
Today is awesome,Positive
I love my work,Positive
Everything is working out great,Positive
I am proud of myself,Positive
Things are going perfectly,Positive
What a beautiful day,Positive
Feeling on top of the world,Positive
That was mildly nice,Mildly Positive
I think it went okay,Mildly Positive
Things are looking up,Mildly Positive
I feel kinda good,Mildly Positive
Not too bad today,Mildly Positive
I am doing better than yesterday,Mildly Positive
There is some hope left,Mildly Positive
It was a decent day,Mildly Positive
Feeling okay with how things went,Mildly Positive
I feel a bit lighter now,Mildly Positive
It is just another day,Neutral
I don't feel anything,Neutral
Nothing much to say,Neutral
I guess it's fine,Neutral
No strong feelings today,Neutral
Meh,Neutral
It is neither good nor bad,Neutral
Not much going on,Neutral
Just doing stuff,Neutral
Today feels average,Neutral
Feeling a little down,Mildly Negative
Things are a bit off today,Mildly Negative
It could be better,Mildly Negative
I feel kinda low,Mildly Negative
There is a weird sadness,Mildly Negative
Not my best day,Mildly Negative
Feeling uninspired,Mildly Negative
I am a little upset,Mildly Negative
Not feeling great,Mildly Negative
There is a cloud over me,Mildly Negative
Everything sucks,Negative
I hate this,Negative
Worst day ever,Negative
I am totally broken,Negative
I feel like giving up,Negative
Nothing is going right,Negative
This is unbearable,Negative
I can't deal with this anymore,Negative
I want to disappear,Negative
I am drowning in sadness,Negative
Feeling fantastic,Positive
I love this song,Positive
Sunshine feels so good,Positive
That made me smile,Positive
I feel confident and happy,Positive
This is mildly fun,Mildly Positive
Not great but not bad either,Mildly Positive
Could have been worse,Mildly Positive
I sort of enjoyed it,Mildly Positive
Better than I expected,Mildly Positive
Everything is just the same,Neutral
No change in my mood,Neutral
I am in a blank state,Neutral
Floating through the day,Neutral
Cannot tell how I feel,Neutral
Slightly annoyed,Mildly Negative
Not having the best time,Mildly Negative
Just a bit irritated,Mildly Negative
Feeling low energy,Mildly Negative
That was disappointing,Mildly Negative
I want to scream,Negative
Everything is falling apart,Negative
They never listen,Negative
So tired of everything,Negative
Nobody understands me,Negative
